swb04	0	*	We like us.
swb04	1		We like ourselves.
swb04	1		Nobody likes us.
swb04	0	*	Leslie likes ourselves.
swb04	0	*	Ourselves like us.
swb04	0	*	Ourselves like ourselves.
swb04	1		She voted for her.
swb04	1		She voted for herself.
swb04	1		We voted for her.
swb04	0	*	We voted for herself.
swb04	0	*	We gave us presents.
swb04	1		We gave ourselves presents.
swb04	1		We gave presents to ourselves.
swb04	0	*	We gave us to the cause.
swb04	1		We gave ourselves to the cause.
swb04	0	*	Leslie told us about us.
swb04	0	*	Leslie told ourselves about us.
swb04	0	*	Leslie told ourselves about ourselves.
swb04	1		We think that Leslie likes us.
swb04	1		Our friends like us.
swb04	0	*	Our friends like ourselves.
swb04	1		Those pictures of us offended us.
swb04	1		We found your letter to us in the trash.
swb04	0	*	We found your letter to ourselves in the trash.
swb04	1		Vote for us!
swb04	0	*	Vote for ourselves!
swb04	0	*	Vote for you!
swb04	1		Vote for yourself!
swb04	1		We appealed to them to vote for themselves.
swb04	1		We appealed to them to vote for us.
swb04	0	*	We appeared to them to vote for themselves.
swb04	1		We wrapped the blankets around us.
swb04	1		We wrapped the blankets around ourselves.
swb04	1		We admired the pictures of us in the album.
swb04	1		We admired the pictures of ourselves in the album.
swb04	1		Leslie used a pen.
swb04	1		We put the pigs in a pen.
swb04	1		We need to pen the pigs to keep them from getting into the corn.
swb04	1		They should pen the letter quickly.
swb04	1		The judge sent them to the pen for a decade.
swb04	1		The cheetah will run down the hill.
swb04	1		The president will run.
swb04	1		The car won’t run.
swb04	1		This trail should run over the hill.
swb04	1		She can run an accelerator.
swb04	1		They will run the risk.
swb04	1		There is a run in that stocking.
swb04	1		Fats won with a run of 20.
swb04	1		I forgot how good beer tastes.
swb04	1		Visiting relatives can be boring.
swb04	1		If only Superman would stop flying planes!
swb04	1		I know you like the back of my hand.
swb04	1		An earthquake in Romania moved buildings as far away as Moscow and Rome.
swb04	1		I saw that gas can explode.
swb04	1		The only thing capable of consuming this food has four legs and flies.
swb04	1		I saw her duck.
swb04	1		I’m creating a committee. Kim – you’re in charge.
swb04	1		Lights go out at ten. There will be no talking afterwards.
swb04	1		They found the book on the table.
swb04	1		They found the book on the atom.
swb04	1		Which witnesses testified against defendants who incriminated them?
swb04	1		Which witnesses testified against defendants who incriminated themselves?
swb04	1		List all witnesses for the defendant who represented himself.
swb04	1		List all witnesses for the defendant who represented themselves.
swb04	1		List associates of each witness who speaks Spanish.
swb04	1		List associates of each witness who speak Spanish.
swb04	0	*	We persuaded there to be several students at the talk.
swb04	0	*	They lost themselves’ books.
swb04	1		Some sentences go on and on and on.
swb04	1		Some sentences go on and on and on and on and on.
swb04	1		That surprised me.
swb04	0	*	I noticed the .
swb04	1		This is my favorite .
swb04	1		A dog with brown spots chased a cat with no tail.
swb04	1		Some people yell at noisy dogs in my neighborhood.
swb04	1		Some people yell at the dogs in my neighborhood.
swb04	1		Some people yell at the noisy dogs.
swb04	1		Some people yell at the dogs.
swb04	1		Some people yell at noisy dogs.
swb04	1		Some people yell at dogs in my neighborhood.
swb04	1		Some people yell at dogs.
swb04	1		Some people consider the noisy dogs in my neighborhood dangerous.
swb04	1		Some people consider the dogs dangerous.
swb04	1		Some people consider noisy dogs dangerous.
swb04	1		Some people consider dogs in my neighborhood dangerous.
swb04	1		Some people consider dogs dangerous.
swb04	1		We enjoyed the movie with Cher.
swb04	1		I saw the astronomer with a telescope.
swb04	1		This disease gave Leslie a fever in Rome.
swb04	1		A tourist in Rome laughed.
swb04	1		The love of my life and mother of my children would never do such a thing.
swb04	1		The museum displayed no painting by Miro or drawing by Klee.
swb04	1		Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time.
swb04	1		It is after lunch that they always fall asleep.
swb04	0	*	Many artists were represented, but painting by Klee or drawing by Miro the museum displayed no.
